name,price,specification,description
Brown Brush Painted and Printed Cotton Coaty,"As low asTk 1,818.60","['Cotton', 'Screen Print', 'Band Collar', 'Front Pocket', 'Sleeveless', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Brown brush painted cotton coaty with black prints. Comes with six buttons and two pockets.
Multicolour Textured Cotton Coaty,"As low asTk 1,334.88","['Cotton', 'Band Collar', 'Sleeveless', 'Hand Wash With Mild Detergent In Cold Water']","Dusty pink, maroon and black textured cotton coaty. Features button closure."
Teal Blue Embroidered Endi Silk Panjabi,"As low asTk 10,195.35","['Endi Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Teal blue endi silk panjabi with plum embroidery. Features in-seam side pockets.
Purple Embroidered Endi Silk Panjabi,"As low asTk 7,967.44","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Purple endi silk panjabi with blue embroidery. Features in-seam side pockets.
Persian Plum Cotton Slim Fit Panjabi Pajama Set,"As low asTk 4,613.95","['Brown', 'Cotton', 'Cotton', 'Hand Embroidery', 'Chino Pants', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']","Persian plum textured cotton slim fit panjabi with red and blue embroidery. Comes with brown cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Deep Brown Genuine Leather Nagras,"As low asTk 2,309.52","['Textured Leather', 'Genuine Leather', 'Flat', 'Genuine Leather Lining', 'Genuine Leather Sole', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Deep brown genuine leather nagras shoes with white thread detail on punched vamp. Features thin goat genuine leather lining, comfortable footbed and sturdy buffalo sole with crepe base. A must have to pair with your panjabi."
Tan Genuine Leather Nagras,"As low asTk 2,033.33","['Textured Leather', 'Genuine Leather', 'Flat', 'Genuine Leather Lining', 'Rubber Sole', 'Close Back', 'Clean With Soft Dry Brush And Keep It Dry Place']",Tan genuine leather nagras with closed back.
Ecru Ombre Dyed and Embroidered Endi Silk Panjabi,"As low asTk 6,967.44","['Endi Silk', 'Hand Embroidery', 'High Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Ecru and peach ombre dyed endi silk panjabi with peach, beige and golden embroidery."
Black Punched Genuine Leather Nagras,"As low asTk 1,966.67","['Textured Leather', 'Genuine Leather', 'Flat', 'Genuine Leather Lining', 'Rubber Sole', 'Clean With Soft Dry Brush And Keep It Dry Place']",Black genuine leather close toed ladies nagras with punched detail.
Mustard Embroidered Endi Silk Panjabi,"As low asTk 7,493.02","['Endi Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Mustard endi silk panjabi with black embroidery detailing. Features dual side in-seam pockets.
